# validation_accuracy,testing_accuracy,activation,structure,init_learning_rate,learning_type,regulizer,model
84.80138169257341,94.11764705882352,tanh,63-36-27,0.004,adaptive,0.4,
84.6286701208981,93.88696655132641,logistic,63-36-27,0.0004,adaptive,0.1,
84.4559585492228,94.00230680507498,tanh,63-36-27,0.4,adaptive,0.4,
84.4559585492228,93.9446366782007,tanh,63-36-27,0.07,adaptive,0.4,
84.4559585492228,98.50057670126874,tanh,63-51-39-27,0.07,adaptive,0.7,
84.4559585492228,97.05882352941177,tanh,63-42-27-27,0.4,adaptive,0.7,
84.4559585492228,97.75086505190312,logistic,63-51-39-27,0.1,adaptive,0.1,
84.4559585492228,98.0392156862745,logistic,63-51-39-27,0.0007,adaptive,0.1,
84.28324697754749,92.56055363321799,tanh,63-18-27,0.0001,adaptive,0.1,
84.28324697754749,98.32756632064591,tanh,63-36-27,0.7,adaptive,0.1,
84.28324697754749,97.86620530565168,tanh,63-36-27,0.001,adaptive,0.1,
84.28324697754749,93.6562860438293,tanh,63-36-27,0.0001,adaptive,0.4,
84.28324697754749,99.82698961937716,tanh,63-51-39-27,0.01,adaptive,0.4,
84.28324697754749,98.6159169550173,tanh,63-51-39-27,0.001,adaptive,0.7,
84.28324697754749,98.96193771626297,tanh,63-51-39-27,0.0004,adaptive,0.7,
84.11053540587218,98.96193771626297,tanh,63-51-39-27,0.0007,adaptive,0.7,
84.11053540587218,97.52018454440599,tanh,63-42-27-27,0.01,adaptive,0.7,
84.11053540587218,94.29065743944636,logistic,63-36-27,0.001,adaptive,0.07,
84.11053540587218,99.76931949250289,logistic,63-51-39-27,0.04,adaptive,0.07,
84.11053540587218,99.19261822376009,logistic,63-51-39-27,0.0001,adaptive,0.07,
83.93782383419689,99.13494809688581,tanh,63-36-27,0.7,adaptive,0.04,
83.93782383419689,91.06113033448673,tanh,63-36-27,0.04,adaptive,0.7,
83.93782383419689,99.65397923875432,tanh,63-51-39-27,0.4,adaptive,0.4,
83.93782383419689,99.94232987312573,tanh,63-51-39-27,0.7,adaptive,0.4,
83.93782383419689,99.76931949250289,tanh,63-51-39-27,0.0007,adaptive,0.4,
83.93782383419689,98.32756632064591,tanh,63-42-27-27,0.7,adaptive,0.4,
83.93782383419689,98.84659746251442,tanh,63-42-27-27,0.001,adaptive,0.4,
83.93782383419689,97.86620530565168,tanh,63-42-27-27,0.0001,adaptive,0.7,
83.93782383419689,99.07727797001154,logistic,63-51-39-27,0.1,adaptive,0.07,
83.93782383419689,98.55824682814303,logistic,63-51-39-27,0.0004,adaptive,0.1,
83.93782383419689,96.88581314878893,logistic,63-42-27-27,0.7,adaptive,0.1,
83.93782383419689,98.38523644752019,logistic,63-42-27-27,0.001,adaptive,0.04,
83.93782383419689,97.52018454440599,logistic,63-42-27-27,0.004,adaptive,0.1,
83.7651122625216,92.38754325259517,tanh,63-18-27,0.1,adaptive,0.04,
83.7651122625216,97.80853517877739,tanh,63-36-27,0.01,adaptive,0.04,
83.7651122625216,97.63552479815456,tanh,63-36-27,0.07,adaptive,0.1,
