# accuracy,activation,structure,init_learning_rate,learning_type,regulizer,model
84.97409326424871,logistic,63-51-39-27,0.0061,adaptive,0.105,
84.6286701208981,tanh,63-36-27,0.0041,adaptive,0.09,
84.6286701208981,logistic,63-51-39-27,0.0041,adaptive,0.075,
84.4559585492228,tanh,63-36-27,0.0031,adaptive,0.105,
84.4559585492228,logistic,63-18-27,0.0061,adaptive,0.03,
84.4559585492228,logistic,63-36-27,0.0061,constant,0.015,
84.28324697754749,tanh,63-36-27,0.0001,constant,0.075,
84.28324697754749,tanh,63-51-39-27,0.0011,adaptive,0.06,
84.28324697754749,logistic,63-36-27,0.0071,constant,0.045,
84.28324697754749,logistic,63-51-39-27,0.0041,adaptive,0.105,
84.28324697754749,logistic,63-51-39-27,0.0071,adaptive,0.075,
84.28324697754749,logistic,63-42-27-27,0.0071,constant,0.105,
84.11053540587218,tanh,63-36-27,0.0071,constant,0.09,
84.11053540587218,tanh,63-51-39-27,0.0071,adaptive,0.06,
84.11053540587218,logistic,63-36-27,0.0001,constant,0.09,
84.11053540587218,logistic,63-36-27,0.0011,constant,0.09,
84.11053540587218,logistic,63-51-39-27,0.0011,constant,0.105,
84.11053540587218,logistic,63-42-27-27,0.0021,adaptive,0.075,
84.11053540587218,logistic,63-42-27-27,0.0061,constant,0.09,
83.93782383419689,tanh,63-36-27,0.0011,constant,0.105,
83.93782383419689,tanh,63-36-27,0.0031,constant,0.075,
83.93782383419689,tanh,63-36-27,0.0051,adaptive,0.105,
83.93782383419689,logistic,63-36-27,0.0031,constant,0.09,
83.93782383419689,logistic,63-36-27,0.0031,adaptive,0.06,
83.93782383419689,logistic,63-36-27,0.0051,adaptive,0.015,
83.93782383419689,logistic,63-36-27,0.0071,adaptive,0.03,
83.93782383419689,logistic,63-51-39-27,0.0021,adaptive,0.09,
83.93782383419689,logistic,63-51-39-27,0.0021,adaptive,0.105,
83.7651122625216,tanh,63-18-27,0.0001,adaptive,0.075,
83.7651122625216,tanh,63-18-27,0.0021,constant,0.06,
83.7651122625216,tanh,63-36-27,0.0001,constant,0.06,
83.7651122625216,tanh,63-36-27,0.0001,adaptive,0.075,
83.7651122625216,tanh,63-36-27,0.0021,constant,0.075,
83.7651122625216,tanh,63-36-27,0.0051,constant,0.06,
83.7651122625216,tanh,63-51-39-27,0.0041,constant,0.105,
83.7651122625216,logistic,63-36-27,0.0011,constant,0.075,
83.7651122625216,logistic,63-36-27,0.0031,constant,0.045,
83.7651122625216,logistic,63-36-27,0.0041,adaptive,0.09,
83.7651122625216,logistic,63-51-39-27,0.0061,constant,0.075,
83.7651122625216,logistic,63-51-39-27,0.0071,adaptive,0.105,
83.7651122625216,logistic,63-42-27-27,0.0011,adaptive,0.105,
83.7651122625216,logistic,63-42-27-27,0.0061,adaptive,0.075,
83.59240069084629,tanh,63-36-27,0.0011,constant,0.075,
83.59240069084629,tanh,63-36-27,0.0071,constant,0.105,
83.59240069084629,logistic,63-36-27,0.0001,adaptive,0.03,
83.59240069084629,logistic,63-36-27,0.0001,adaptive,0.06,
83.59240069084629,logistic,63-36-27,0.0031,constant,0.03,
83.59240069084629,logistic,63-36-27,0.0041,adaptive,0.105,
83.59240069084629,logistic,63-36-27,0.0071,constant,0.09,
